index_code,con_code,trade_date,weight
000016.SH,600309.SH,20250630,1.236
000016.SH,600941.SH,20250630,1.229
000016.SH,601857.SH,20250630,1.172
000016.SH,601919.SH,20250630,1.147
000016.SH,688008.SH,20250630,1.135
000016.SH,600690.SH,20250630,1.125
000016.SH,601012.SH,20250630,1.101
000016.SH,600406.SH,20250630,1.089
000016.SH,600809.SH,20250630,1.041
000016.SH,601766.SH,20250630,1.036
000016.SH,600050.SH,20250630,1.01
000016.SH,600028.SH,20250630,0.995
000016.SH,601988.SH,20250630,0.973
000016.SH,688012.SH,20250630,0.965
000016.SH,601985.SH,20250630,0.927
000016.SH,601225.SH,20250630,0.902
000016.SH,600150.SH,20250630,0.88
000016.SH,601628.SH,20250630,0.83
000016.SH,688111.SH,20250630,0.784
000016.SH,600760.SH,20250630,0.782
000016.SH,601658.SH,20250630,0.729
000016.SH,601888.SH,20250630,0.72
000016.SH,603993.SH,20250630,0.716
000016.SH,600048.SH,20250630,0.704
000016.SH,601600.SH,20250630,0.675
000016.SH,600519.SH,20250530,12.072
000016.SH,601318.SH,20250530,7.241
000016.SH,600036.SH,20250530,6.788
000016.SH,600900.SH,20250530,4.666
000016.SH,601166.SH,20250530,4.157
000016.SH,601899.SH,20250530,3.688
000016.SH,600030.SH,20250530,3.145
000016.SH,601398.SH,20250530,3.129
000016.SH,600276.SH,20250530,3.087
000016.SH,600887.SH,20250530,2.436
000016.SH,601328.SH,20250530,2.26
000016.SH,601288.SH,20250530,2.229
000016.SH,601816.SH,20250530,2.18
000016.SH,688981.SH,20250530,2.061
000016.SH,603259.SH,20250530,2.006
000016.SH,601088.SH,20250530,1.648
000016.SH,688041.SH,20250530,1.598
000016.SH,688256.SH,20250530,1.591
000016.SH,601728.SH,20250530,1.574
000016.SH,601668.SH,20250530,1.492
000016.SH,601601.SH,20250530,1.488
000016.SH,601988.SH,20250530,1.469
000016.SH,600031.SH,20250530,1.411
000016.SH,601127.SH,20250530,1.403
000016.SH,603501.SH,20250530,1.339
000016.SH,600941.SH,20250530,1.332
000016.SH,601919.SH,20250530,1.321
000016.SH,600309.SH,20250530,1.288
000016.SH,601857.SH,20250530,1.187
000016.SH,600690.SH,20250530,1.187
000016.SH,600809.SH,20250530,1.136
000016.SH,600406.SH,20250530,1.125
000016.SH,601766.SH,20250530,1.106
000016.SH,601012.SH,20250530,1.101
000016.SH,600050.SH,20250530,1.076
000016.SH,600028.SH,20250530,1.065
000016.SH,601225.SH,20250530,1.022
000016.SH,601985.SH,20250530,0.995
000016.SH,688012.SH,20250530,0.963
000016.SH,603288.SH,20250530,0.936
