ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount
000016.SH,20230925,2529.1496,2548.8881,2548.8881,2526.0677,2550.9827,-21.8331,-0.8559,25569881.0,41022034.524
000016.SH,20230922,2550.9827,2498.2434,2550.9827,2489.3225,2495.7393,55.2434,2.2135,32978575.0,53822484.498
000016.SH,20230921,2495.7393,2515.468,2519.9105,2495.7393,2521.562,-25.8227,-1.0241,23891417.0,35084379.139
000016.SH,20230920,2521.562,2527.7502,2529.0204,2519.1328,2532.2789,-10.7169,-0.4232,22882473.0,30949026.888
000016.SH,20230919,2532.2789,2529.4833,2533.7876,2517.3982,2531.8974,0.3815,0.0151,22940704.0,34756093.385
000016.SH,20230918,2531.8974,2509.1464,2532.429,2503.0212,2514.9794,16.918,0.6727,25420942.0,43600334.282
000016.SH,20230915,2514.9794,2538.2582,2546.423,2508.2388,2530.9791,-15.9997,-0.6322,33666399.0,53188347.631
000016.SH,20230914,2530.9791,2529.1927,2539.6722,2519.4023,2524.5413,6.4378,0.255,31215489.0,41657844.965
000016.SH,20230913,2524.5413,2536.3867,2543.1243,2510.0943,2531.8257,-7.2844,-0.2877,24199656.0,37205544.36
000016.SH,20230912,2531.8257,2533.5963,2538.69,2527.3367,2536.1714,-4.3457,-0.1713,20584905.0,31996953.374
000016.SH,20230911,2536.1714,2519.2958,2550.0086,2519.2958,2519.9694,16.202,0.6429,24454024.0,42516632.132
000016.SH,20230908,2519.9694,2527.4581,2529.8508,2512.4105,2534.1555,-14.1861,-0.5598,18042629.0,28609593.223
000016.SH,20230907,2534.1555,2552.363,2552.8568,2531.1017,2559.3574,-25.2019,-0.9847,25242432.0,40426844.367
000016.SH,20230906,2559.3574,2553.5942,2564.427,2544.6021,2561.7902,-2.4328,-0.095,23862054.0,41578603.692
000016.SH,20230905,2561.7902,2569.7582,2569.7582,2557.9667,2577.4651,-15.6749,-0.6082,26684673.0,47627591.859
000016.SH,20230904,2577.4651,2550.1716,2583.6651,2547.5922,2532.2541,45.211,1.7854,40656936.0,67613130.118
000016.SH,20230901,2532.2541,2520.6987,2544.0519,2520.6987,2510.4577,21.7964,0.8682,29082104.0,46333399.436
000016.SH,20230831,2510.4577,2526.6858,2532.1746,2505.8259,2522.5419,-12.0842,-0.479,29685202.0,46242837.373
000016.SH,20230830,2522.5419,2540.8405,2540.8405,2518.655,2529.2228,-6.6809,-0.2641,35817962.0,55190681.774
000016.SH,20230829,2529.2228,2512.3171,2546.686,2511.7912,2518.1857,11.0371,0.4383,39909534.0,64006134.47
